"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 18 13:12:23 MSK 2025","Fri Apr 18 13:12:24 MSK 2025","1014","","tests.LoginUserTest","","tests.LoginUserTest","loginWithWrongLoginTest","Авторизация с неверным логином","Проверяем, что система возвращает ошибку при попытке авторизации с неверным email"
"passed","Fri Apr 18 13:12:24 MSK 2025","Fri Apr 18 13:12:24 MSK 2025","132","","tests.GetUserOrdersTest","","tests.GetUserOrdersTest","getUserOrdersWithoutAuthTest","Получение заказов неавторизованным пользователем","Проверяем, что неавторизованный пользователь не может получить заказы"
"passed","Fri Apr 18 13:12:30 MSK 2025","Fri Apr 18 13:12:31 MSK 2025","1072","","tests.ChangeUserDataTest","","tests.ChangeUserDataTest","changeNameWithAuthTest","Изменение имени авторизованного пользователя","Проверяем успешное изменение имени авторизованного пользователя"
"passed","Fri Apr 18 13:12:35 MSK 2025","Fri Apr 18 13:12:36 MSK 2025","907","","tests.OrderTest","","tests.OrderTest","createOrderWithInvalidIngredientsTest","Создание заказа с неверным хешем ингредиентов","Проверяем создание заказа с невалидным хешем ингредиентов"
"passed","Fri Apr 18 13:12:39 MSK 2025","Fri Apr 18 13:12:40 MSK 2025","980","","tests.OrderTest","","tests.OrderTest","createOrderWithoutIngredientsTest","Создание заказа без ингредиентов","Проверяем создание заказа с пустым списком ингредиентов"
"passed","Fri Apr 18 13:12:17 MSK 2025","Fri Apr 18 13:12:22 MSK 2025","4330","","tests.LoginUserTest","","tests.LoginUserTest","loginExistingUserTest","Успешная авторизация существующего пользователя","Проверяем успешную авторизацию существующего пользователя с корректными данными"
"passed","Fri Apr 18 13:12:22 MSK 2025","Fri Apr 18 13:12:23 MSK 2025","1134","","tests.LoginUserTest","","tests.LoginUserTest","loginWithWrongCredentialsTest","Авторизация с неверным паролем","Проверяем что система возвращает ошибку при попытке авторизации с неверным паролем"
"passed","Fri Apr 18 13:12:36 MSK 2025","Fri Apr 18 13:12:39 MSK 2025","3584","","tests.OrderTest","","tests.OrderTest","createOrderWithAuthTest","Создание заказа с авторизацией","Проверяем успешное создание заказа авторизованным пользователем"
"passed","Fri Apr 18 13:12:34 MSK 2025","Fri Apr 18 13:12:34 MSK 2025","126","","tests.CreateUserTest","","tests.CreateUserTest","createUserWithoutPasswordTest","Создание пользователя без пароля","Проверка невозможности создания пользователя без указания обязательного поля password"
"passed","Fri Apr 18 13:12:34 MSK 2025","Fri Apr 18 13:12:35 MSK 2025","943","","tests.CreateUserTest","","tests.CreateUserTest","createUniqueUserTest","Создание уникального пользователя","Проверка успешного создания нового пользователя с уникальными данными"
"passed","Fri Apr 18 13:12:34 MSK 2025","Fri Apr 18 13:12:34 MSK 2025","135","","tests.CreateUserTest","","tests.CreateUserTest","createUserWithoutRequiredFieldTest","Создание пользователя без email","Проверка невозможности создания пользователя без указания обязательного поля email"
"passed","Fri Apr 18 13:12:33 MSK 2025","Fri Apr 18 13:12:34 MSK 2025","120","","tests.CreateUserTest","","tests.CreateUserTest","createUserWithoutNameTest","Создание пользователя без имени","Проверка невозможности создания пользователя без указания обязательного поля name"
"passed","Fri Apr 18 13:12:29 MSK 2025","Fri Apr 18 13:12:30 MSK 2025","1142","","tests.ChangeUserDataTest","","tests.ChangeUserDataTest","changeEmailWithAuthTest","Изменение email авторизованного пользователя","Проверяем успешное изменение email авторизованного пользователя"
"passed","Fri Apr 18 13:12:32 MSK 2025","Fri Apr 18 13:12:33 MSK 2025","1016","","tests.CreateUserTest","","tests.CreateUserTest","createAlreadyRegisteredUserTest","Создание уже зарегистрированного пользователя","Проверка, что создание уже существующего пользователя возвращает 403 Forbidden с сообщением 'User already exists'"
"failed","Fri Apr 18 13:12:39 MSK 2025","Fri Apr 18 13:12:39 MSK 2025","134","","tests.OrderTest","","tests.OrderTest","createOrderWithoutAuthTest","Создание заказа без авторизации","Проверяем создание заказа без авторизации"
"passed","Fri Apr 18 13:12:31 MSK 2025","Fri Apr 18 13:12:32 MSK 2025","1072","","tests.ChangeUserDataTest","","tests.ChangeUserDataTest","changeNameWithoutAuthTest","Изменение имени неавторизованного пользователя","Проверяем что система возвращает ошибку при попытке изменения имени без авторизации"
"passed","Fri Apr 18 13:12:28 MSK 2025","Fri Apr 18 13:12:29 MSK 2025","994","","tests.ChangeUserDataTest","","tests.ChangeUserDataTest","changeEmailWithoutAuthTest","Изменение email неавторизованного пользователя","Проверяем что система возвращает ошибку при попытке изменения email без авторизации"
"passed","Fri Apr 18 13:12:24 MSK 2025","Fri Apr 18 13:12:28 MSK 2025","4259","","tests.GetUserOrdersTest","","tests.GetUserOrdersTest","getUserOrdersWithAuthTest","Получение заказов авторизованного пользователя","Проверяем успешное получение заказов авторизованным пользователем"
